name,amount,id,type,add,attribute
Maris Otter Extra Pale,3300.0,1,malt,,
Caramalt,200.0,1,malt,,
Munich,400.0,1,malt,,
Fuggles,25.0,1,hop,start,bitter
First Gold,25.0,1,hop,start,bitter
Fuggles,37.5,1,hop,middle,flavour
First Gold,37.5,1,hop,middle,flavour
Cascade,37.5,1,hop,end,flavour
Maris Otter Extra Pale,3250.0,2,malt,,
Caramalt,200.0,2,malt,,
Munich,400.0,2,malt,,
Amarillo,13.8,2,hop,start,bitter
Simcoe,13.8,2,hop,start,bitter
Amarillo,26.3,2,hop,end,flavour
Motueka,18.8,2,hop,end,flavour
Propino Pale Malt,1630.0,3,malt,,
Wheat Malt,1630.0,3,malt,,
Propino Pale Malt for kettle souring,30.0,3,malt,,
Acidulated Malt for kettle souring,30.0,3,malt,,
Bramling Cross,10.0,3,hop,middle,bitter
Extra Pale,4580.0,4,malt,,
Caramalt,250.0,4,malt,,
Dark Crystal,60.0,4,malt,,
Munich,250.0,4,malt,,
Centennial,5.0,4,hop,start,bitter
Amarillo,5.0,4,hop,start,bitter
Centennial,10.0,4,hop,middle,flavour
Amarillo,10.0,4,hop,middle,flavour
Centennial,17.5,4,hop,end,flavour
Amarillo,17.5,4,hop,end,flavour
Lager Malt,6630.0,5,malt,,
Wheat,380.0,5,malt,,
Saaz,60.0,5,hop,start,bitter
Saaz,60.0,5,hop,middle,flavour
Saaz,60.0,5,hop,end,flavour
Extra Pale,3630.0,6,malt,,
Munich,130.0,6,malt,,
Wheat,250.0,6,malt,,
Amarillo,2.5,6,hop,start,bitter
Nelson Sauvin,5.0,6,hop,middle,flavour
Amarillo,5.0,6,hop,middle,flavour
Peppercorns,2.5,6,hop,middle,flavour
Nelson Sauvin,20.0,6,hop,end,flavour
Amarillo,12.5,6,hop,end,flavour
Extra Pale,9690.0,7,malt,,
Chocolate,190.0,7,malt,,
Carafa Special Malt Type 3,440.0,7,malt,,
Tomahawk,31.25,7,hop,start,bitter
Magnum,12.5,7,hop,start,bitter
Magnum,12.5,7,hop,middle,flavour
Tomahawk,12.5,7,hop,end,flavour
Centennial,25.0,7,hop,end,flavour
Amarillo,25.0,7,hop,end,flavour
Centennial,25.0,7,hop,dry hop,aroma
Amarillo,25.0,7,hop,dry hop,aroma
Tomahawk,37.5,7,hop,dry hop,aroma
Extra Pale,3330.0,8,malt,,
Munich,420.0,8,malt,,
Caramalt,280.0,8,malt,,
Acidulated Malt,70.0,8,malt,,
Magnum,7.5,8,hop,start,bitter
Magnum,5.0,8,hop,middle,flavour
Hersbrucker,6.25,8,hop,middle,flavour
Saaz,6.25,8,hop,middle,flavour
Hersbrucker,18.75,8,hop,end,flavour
Saaz,18.75,8,hop,end,flavour
Munich,5630.0,9,malt,,
Flaked Oats,1880.0,9,malt,,
Wheat,1880.0,9,malt,,
Caramalt,1250.0,9,malt,,
Crystal,630.0,9,malt,,
Dark Crystal,630.0,9,malt,,
Chocolate,310.0,9,malt,,
Peated Malt,130.0,9,malt,,
Amber,130.0,9,malt,,
Brown,130.0,9,malt,,
Saaz,25.0,9,hop,start,bitter
First Gold,31.3,9,hop,start,bitter
Extra Pale,6380.0,10,malt,,
Crystal 150,130.0,10,malt,,
Caramalt,250.0,10,malt,,
Bramling Cross,60.0,10,hop,start,bitter
Bramling Cross,50.0,10,hop,end,flavour
Pale Ale,2180.0,11,malt,,
Caramalt,300.0,11,malt,,
Dark Crystal,300.0,11,malt,,
Smoked Weyermann,1800.0,11,malt,,
Flaked Oats,600.0,11,malt,,
Brown,600.0,11,malt,,
Amber,100.0,11,malt,,
Chocolate,50.0,11,malt,,
Munich,600.0,11,malt,,
Crystal 150,200.0,11,malt,,
First Gold,25.0,11,hop,start,bitter
Fuggles,25.0,11,hop,start,bitter
Honey,250.0,11,hop,middle,Flavour
Lactose,375.0,11,hop,middle,Flavour
First Gold,10.0,11,hop,end,aroma
Fuggles,10.0,11,hop,end,aroma
Pale Ale,3130.0,12,malt,,
Caramalt,250.0,12,malt,,
Crystal 150,180.0,12,malt,,
Carafa Special Malt Type 1,250.0,12,malt,,
Simcoe,12.5,12,hop,start,bitter
Simcoe,19.0,12,hop,middle,flavour
Simcoe,12.5,12,hop,end,flavour
Amarillo,12.5,12,hop,end,flavour
Citra,12.5,12,hop,end,flavour
Simcoe,62.5,12,hop,dry hop,aroma
Amarillo,62.5,12,hop,dry hop,aroma
Citra,62.5,12,hop,dry hop,aroma
Maris Otter Extra Pale,3440.0,13,malt,,
Caramalt,630.0,13,malt,,
Crystal 150,310.0,13,malt,,
Carafa Special Malt Type 1,310.0,13,malt,,
Carafa Special Malt Type 3,310.0,13,malt,,
Cascade,43.8,13,hop,start,bitter
Cascade,81.3,13,hop,end,flavour
Cascade,250.0,13,hop,dry hop,aroma
Maris Otter Extra Pale,2500.0,14,malt,,
Caramalt,1250.0,14,malt,,
Munich,610.0,14,malt,,
Crystal 150,280.0,14,malt,,
Dark Crystal 350-400,200.0,14,malt,,
Nelson Sauvin,15.0,14,hop,start,bitter
Amarillo,10.0,14,hop,end,flavour
Nelson Sauvin,30.0,14,hop,end,flavour
Pale Ale - Tipple,11100.0,15,malt,,
Caramalt,940.0,15,malt,,
Crystal,440.0,15,malt,,
Columbus Extract,12.5,15,hop,start,bitter
Centennial,37.5,15,hop,end,flavour
Cascade,37.5,15,hop,end,flavour
Simcoe,37.5,15,hop,end,flavour
Extra Pale - Spring Blend,5000.0,16,malt,,
Caramalt,1250.0,16,malt,,
Crystal 150,630.0,16,malt,,
Chocolate,630.0,16,malt,,
Roasted Barley,630.0,16,malt,,
Wheat,310.0,16,malt,,
Flaked Oats,310.0,16,malt,,
Smoked Malt,60.0,16,malt,,
Columbus,31.25,16,hop,start,bitter
Columbus,25.0,16,hop,end,bitter
Willamette,25.0,16,hop,end,flavour
Galena,25.0,16,hop,end,flavour
Columbus,75.0,16,hop,dry hop,aroma
Galena,75.0,16,hop,dry hop,aroma
Simcoe,100.0,16,hop,dry hop,aroma
Pale Ale,6130.0,17,malt,,
Crystal 150,250.0,17,malt,,
Caramalt,380.0,17,malt,,
Carafa Special Malt Type 1,130.0,17,malt,,
Carafa Special Malt Type 3,130.0,17,malt,,
Hop Extract,20.0,17,hop,start,bitter
Amarillo,25.0,17,hop,start,bitter
Chinook,25.0,17,hop,end,flavour
Cascade,25.0,17,hop,end,flavour
Centennial,25.0,17,hop,end,flavour
Columbus,25.0,17,hop,end,flavour
Chinook,25.0,17,hop,dry hop,aroma
Cascade,25.0,17,hop,dry hop,aroma
Centennial,25.0,17,hop,dry hop,aroma
Columbus,25.0,17,hop,dry hop,aroma
Amarillo,25.0,17,hop,dry hop,aroma
Extra Pale,5060.0,18,malt,,
Caramalt,250.0,18,malt,,
Dark Crystal,60.0,18,malt,,
Cascade,2.5,18,hop,start,bitter
Centennial,12.5,18,hop,middle,flavour
Simcoe,17.5,18,hop,middle,flavour
Simcoe,17.5,18,hop,end,flavour
Citra,17.5,18,hop,end,flavour
Simcoe,75.0,18,hop,dry hop,aroma
Cascade,75.0,18,hop,dry hop,aroma
Centennial,75.0,18,hop,dry hop,aroma
Citra,25.0,18,hop,dry hop,aroma
Extra Pale,6120.0,19,malt,,
Caramalt,800.0,19,malt,,
Tomahawk,7.0,19,hop,start,bitter
Motueka,5.5,19,hop,start,bitter
Galena,2.5,19,hop,middle,flavour
Mt.Hood,2.5,19,hop,middle,flavour
Challenger,15.0,19,hop,dry hop,aroma
Galena,15.0,19,hop,dry hop,aroma
Nelson Sauvin,20.0,19,hop,dry hop,aroma
Extra Pale,5630.0,20,malt,,
Wheat,690.0,20,malt,,
Crystal,630.0,20,malt,,
Columbus,12.5,20,hop,start,bitter
Hersbrucker,12.5,20,hop,middle,flavour
Extra Pale,2690.0,21,malt,,
Wheat,1250.0,21,malt,,
