id,name,date,metric_name,metric_value,yeast_type
1,Buzz,2007-09-01,abv,4.5,Ale
1,Buzz,2007-09-01,ibu,60,Ale
1,Buzz,2007-09-01,srm,10,Ale
1,Buzz,2007-09-01,ph,4.4,Ale
1,Buzz,2007-09-01,target_fg,1010,Ale
2,Trashy Blonde,2008-04-01,abv,4.1,Ale
2,Trashy Blonde,2008-04-01,ibu,41.5,Ale
2,Trashy Blonde,2008-04-01,srm,15,Ale
2,Trashy Blonde,2008-04-01,ph,4.4,Ale
2,Trashy Blonde,2008-04-01,target_fg,1010,Ale
3,Berliner Weisse With Yuzu - B-Sides,2015-11-01,abv,4.2,Ale
3,Berliner Weisse With Yuzu - B-Sides,2015-11-01,ibu,8,Ale
3,Berliner Weisse With Yuzu - B-Sides,2015-11-01,srm,4,Ale
3,Berliner Weisse With Yuzu - B-Sides,2015-11-01,ph,3.2,Ale
3,Berliner Weisse With Yuzu - B-Sides,2015-11-01,target_fg,1007,Ale
4,Pilsen Lager,2013-09-01,abv,6.3,Lager
4,Pilsen Lager,2013-09-01,ibu,55,Lager
4,Pilsen Lager,2013-09-01,srm,15,Lager
4,Pilsen Lager,2013-09-01,ph,4.4,Lager
4,Pilsen Lager,2013-09-01,target_fg,1012,Lager
5,Avery Brown Dredge,2011-02-01,abv,7.2,Lager
5,Avery Brown Dredge,2011-02-01,ibu,59,Lager
5,Avery Brown Dredge,2011-02-01,srm,5,Lager
5,Avery Brown Dredge,2011-02-01,ph,4.4,Lager
5,Avery Brown Dredge,2011-02-01,target_fg,1027,Lager
6,Electric India,2013-05-01,abv,5.2,Other
6,Electric India,2013-05-01,ibu,38,Other
6,Electric India,2013-05-01,srm,7.5,Other
6,Electric India,2013-05-01,ph,4.4,Other
6,Electric India,2013-05-01,target_fg,1005,Other
7,AB:12,2012-07-01,abv,11.2,Other
7,AB:12,2012-07-01,ibu,35,Other
7,AB:12,2012-07-01,srm,40,Other
7,AB:12,2012-07-01,ph,5.3,Other
7,AB:12,2012-07-01,target_fg,1017,Other
8,Fake Lager,2013-03-01,abv,4.7,Lager
8,Fake Lager,2013-03-01,ibu,40,Lager
8,Fake Lager,2013-03-01,srm,6,Lager
8,Fake Lager,2013-03-01,ph,4.4,Lager
8,Fake Lager,2013-03-01,target_fg,1010,Lager
9,AB:07,2010-03-01,abv,12.5,Lager
9,AB:07,2010-03-01,ibu,30,Lager
9,AB:07,2010-03-01,srm,42,Lager
9,AB:07,2010-03-01,ph,5.6,Lager
9,AB:07,2010-03-01,target_fg,1020,Lager
10,Bramling X,2011-01-01,abv,7.5,Ale
10,Bramling X,2011-01-01,ibu,75,Ale
10,Bramling X,2011-01-01,srm,11,Ale
10,Bramling X,2011-01-01,ph,4.4,Ale
10,Bramling X,2011-01-01,target_fg,1013,Ale
11,Misspent Youth,2013-04-01,abv,7.3,Ale
11,Misspent Youth,2013-04-01,ibu,30,Ale
11,Misspent Youth,2013-04-01,srm,60,Ale
11,Misspent Youth,2013-04-01,ph,4.4,Ale
11,Misspent Youth,2013-04-01,target_fg,1020,Ale
12,Arcade Nation,2015-12-01,abv,5.3,Ale
12,Arcade Nation,2015-12-01,ibu,60,Ale
12,Arcade Nation,2015-12-01,srm,100,Ale
12,Arcade Nation,2015-12-01,ph,4.2,Ale
12,Arcade Nation,2015-12-01,target_fg,1012,Ale
13,Movember,2009-11-01,abv,4.5,Ale
13,Movember,2009-11-01,ibu,50,Ale
13,Movember,2009-11-01,srm,70,Ale
13,Movember,2009-11-01,ph,5.2,Ale
13,Movember,2009-11-01,target_fg,1012,Ale
14,Alpha Dog,2010-02-01,abv,4.5,Ale
14,Alpha Dog,2010-02-01,ibu,42,Ale
14,Alpha Dog,2010-02-01,srm,31,Ale
14,Alpha Dog,2010-02-01,ph,4.4,Ale
14,Alpha Dog,2010-02-01,target_fg,1025,Ale
15,Mixtape 8,2012-01-01,abv,14.5,Other
15,Mixtape 8,2012-01-01,ibu,50,Other
15,Mixtape 8,2012-01-01,srm,20,Other
15,Mixtape 8,2012-01-01,ph,4.4,Other
15,Mixtape 8,2012-01-01,target_fg,1014,Other
16,Libertine Porter,2012-01-01,abv,6.1,Ale
16,Libertine Porter,2012-01-01,ibu,45,Ale
16,Libertine Porter,2012-01-01,srm,109.5,Ale
16,Libertine Porter,2012-01-01,ph,4.4,Ale
16,Libertine Porter,2012-01-01,target_fg,1020,Ale
17,AB:06,2011-04-01,abv,11.2,Ale
17,AB:06,2011-04-01,ibu,150,Ale
17,AB:06,2011-04-01,srm,35,Ale
17,AB:06,2011-04-01,ph,,Ale
17,AB:06,2011-04-01,target_fg,1013,Ale
18,Russian Doll – India Pale Ale,2014-08-01,abv,6,Ale
18,Russian Doll – India Pale Ale,2014-08-01,ibu,70,Ale
18,Russian Doll – India Pale Ale,2014-08-01,srm,12.5,Ale
18,Russian Doll – India Pale Ale,2014-08-01,ph,5.2,Ale
18,Russian Doll – India Pale Ale,2014-08-01,target_fg,1012,Ale
19,Hello My Name Is Mette-Marit,2013-06-01,abv,8.2,Ale
19,Hello My Name Is Mette-Marit,2013-06-01,ibu,70,Ale
19,Hello My Name Is Mette-Marit,2013-06-01,srm,,Ale
19,Hello My Name Is Mette-Marit,2013-06-01,ph,4.4,Ale
19,Hello My Name Is Mette-Marit,2013-06-01,target_fg,1013,Ale
20,Rabiator,2011-03-01,abv,10.27,Other
20,Rabiator,2011-03-01,ibu,26,Other
20,Rabiator,2011-03-01,srm,12,Other
20,Rabiator,2011-03-01,ph,4.4,Other
20,Rabiator,2011-03-01,target_fg,1014,Other
21,Vice Bier,2013-04-01,abv,4.3,Other
21,Vice Bier,2013-04-01,ibu,25,Other
21,Vice Bier,2013-04-01,srm,15,Other
21,Vice Bier,2013-04-01,ph,4,Other
21,Vice Bier,2013-04-01,target_fg,1010,Other
22,Devine Rebel (w/ Mikkeller),2008-12-01,abv,12.5,Ale
22,Devine Rebel (w/ Mikkeller),2008-12-01,ibu,100,Ale
22,Devine Rebel (w/ Mikkeller),2008-12-01,srm,18,Ale
22,Devine Rebel (w/ Mikkeller),2008-12-01,ph,4.4,Ale
22,Devine Rebel (w/ Mikkeller),2008-12-01,target_fg,1030,Ale
23,Storm,2007-12-01,abv,8,Ale
23,Storm,2007-12-01,ibu,60,Ale
23,Storm,2007-12-01,srm,6,Ale
23,Storm,2007-12-01,ph,4.4,Ale
23,Storm,2007-12-01,target_fg,1010,Ale
24,The End Of History,2011-06-01,abv,55,Other
24,The End Of History,2011-06-01,ibu,,Other
24,The End Of History,2011-06-01,srm,,Other
24,The End Of History,2011-06-01,ph,4.4,Other
24,The End Of History,2011-06-01,target_fg,1000,Other
25,Bad Pixie,2008-10-01,abv,4.7,Ale
25,Bad Pixie,2008-10-01,ibu,45,Ale
25,Bad Pixie,2008-10-01,srm,4,Ale
25,Bad Pixie,2008-10-01,ph,4.4,Ale
25,Bad Pixie,2008-10-01,target_fg,1010,Ale
26,Skull Candy,2010-02-01,abv,3.5,Ale
26,Skull Candy,2010-02-01,ibu,33,Ale
26,Skull Candy,2010-02-01,srm,25,Ale
26,Skull Candy,2010-02-01,ph,4.4,Ale
26,Skull Candy,2010-02-01,target_fg,1012,Ale
27,Dog B,2013-05-01,abv,15,Ale
27,Dog B,2013-05-01,ibu,90,Ale
27,Dog B,2013-05-01,srm,50,Ale
27,Dog B,2013-05-01,ph,4.4,Ale
27,Dog B,2013-05-01,target_fg,1003,Ale
28,HBC 369,2012-02-01,abv,6.7,Ale
28,HBC 369,2012-02-01,ibu,67,Ale
28,HBC 369,2012-02-01,srm,9.5,Ale
28,HBC 369,2012-02-01,ph,4.4,Ale
28,HBC 369,2012-02-01,target_fg,1064,Ale
29,10 Heads High,2013-04-01,abv,7.8,Ale
29,10 Heads High,2013-04-01,ibu,70,Ale
29,10 Heads High,2013-04-01,srm,45,Ale
29,10 Heads High,2013-04-01,ph,4.4,Ale
29,10 Heads High,2013-04-01,target_fg,1015,Ale
30,Dana - IPA Is Dead,2013-02-01,abv,6.7,Ale
30,Dana - IPA Is Dead,2013-02-01,ibu,70,Ale
30,Dana - IPA Is Dead,2013-02-01,srm,15,Ale
30,Dana - IPA Is Dead,2013-02-01,ph,4.4,Ale
30,Dana - IPA Is Dead,2013-02-01,target_fg,1015,Ale
31,Nanny State,2009-08-01,abv,0.5,Ale
31,Nanny State,2009-08-01,ibu,55,Ale
31,Nanny State,2009-08-01,srm,15,Ale
31,Nanny State,2009-08-01,ph,4.4,Ale
31,Nanny State,2009-08-01,target_fg,1005,Ale
32,AB:05,2010-12-01,abv,12.5,Other
32,AB:05,2010-12-01,ibu,40,Other
32,AB:05,2010-12-01,srm,90,Other
32,AB:05,2010-12-01,ph,4.4,Other
32,AB:05,2010-12-01,target_fg,1030,Other
33,Sorachi Ace,2011-01-01,abv,7.5,Ale
33,Sorachi Ace,2011-01-01,ibu,75,Ale
33,Sorachi Ace,2011-01-01,srm,15,Ale
33,Sorachi Ace,2011-01-01,ph,4.4,Ale
33,Sorachi Ace,2011-01-01,target_fg,1013,Ale
34,Bourbon Baby,2014-01-01,abv,5.8,Ale
34,Bourbon Baby,2014-01-01,ibu,35,Ale
34,Bourbon Baby,2014-01-01,srm,22,Ale
34,Bourbon Baby,2014-01-01,ph,4.4,Ale
34,Bourbon Baby,2014-01-01,target_fg,1005,Ale
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,2015-11-01,abv,3.6,Ale
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,2015-11-01,ibu,8,Ale
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,2015-11-01,srm,,Ale
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,2015-11-01,ph,3.2,Ale
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,2015-11-01,target_fg,1007,Ale
36,Shipwrecker Circus (w/ Oskar Blues),2013-09-01,abv,10.5,Ale
36,Shipwrecker Circus (w/ Oskar Blues),2013-09-01,ibu,85,Ale
36,Shipwrecker Circus (w/ Oskar Blues),2013-09-01,srm,32,Ale
36,Shipwrecker Circus (w/ Oskar Blues),2013-09-01,ph,4.4,Ale
36,Shipwrecker Circus (w/ Oskar Blues),2013-09-01,target_fg,1022,Ale
